TypeHouse;Address;Floors;Area;Frontage;Bedrooms;Bathrooms;YearBuilt;Legal_Status;Road_Type;Price;Gia_trung_binh
Apartment;Nguyễn Hữu Thọ, Q.7, TP.HCM;0;72;15;2;2;2021;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;20.16;480
Apartment;Nguyễn Hữu Thọ, Q.7, TP.HCM;0;72;15;2;2;2020;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;16.8;480
Apartment;Nguyễn Hữu Thọ, Q.7, TP.HCM;0;72;15;2;2;2019;Đang thế chấp ngân hàng;Ngõ rộng;15.84;480
Apartment;Nguyễn Hữu Thọ, Q.7, TP.HCM;0;72;15;2;2;2018;Nằm trong diện quy hoạch;Ngõ nhỏ;10.08;480
Apartment;Nguyễn Hữu Thọ, Q.7, TP.HCM;0;72;15;2;2;2017;Sở hữu theo hợp đồng mua bán/giấy tờ viết tay;Đường cao tốc;8.4;480
Apartment;Trần Duy Hưng, Cầu Giấy, Hà Nội;0;74;16;2;2;2021;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;18.0;450
Apartment;Trần Duy Hưng, Cầu Giấy, Hà Nội;0;74;16;2;2;2020;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;14.85;450
Apartment;Trần Duy Hưng, Cầu Giấy, Hà Nội;0;74;16;2;2;2019;Đang thế chấp ngân hàng;Ngõ rộng;14.17;450
Apartment;Trần Duy Hưng, Cầu Giấy, Hà Nội;0;74;16;2;2;2018;Nằm trong diện quy hoạch;Ngõ nhỏ;8.91;450
Apartment;Trần Duy Hưng, Cầu Giấy, Hà Nội;0;74;16;2;2;2017;Sở hữu theo hợp đồng mua bán/giấy tờ viết tay;Đường cao tốc;7.42;450
Apartment;Nguyễn Văn Linh, TP. Đà Nẵng;0;76;17;2;2;2021;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;3.0;100
Apartment;Nguyễn Văn Linh, TP. Đà Nẵng;0;76;17;2;2;2020;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;2.5;100
Apartment;Nguyễn Văn Linh, TP. Đà Nẵng;0;76;17;2;2;2019;Đang thế chấp ngân hàng;Ngõ rộng;2.38;100
Apartment;Nguyễn Văn Linh, TP. Đà Nẵng;0;76;17;2;2;2018;Nằm trong diện quy hoạch;Ngõ nhỏ;1.5;100
Apartment;Nguyễn Văn Linh, TP. Đà Nẵng;0;76;17;2;2;2017;Sở hữu theo hợp đồng mua bán/giấy tờ viết tay;Đường cao tốc;1.25;100
Apartment;Lê Hồng Phong, Q.Ngô Quyền, TP. Hải Phòng;0;78;18;2;2;2021;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;1.98;75
Apartment;Lê Hồng Phong, Q.Ngô Quyền, TP. Hải Phòng;0;78;18;2;2;2020;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.65;75
Apartment;Lê Hồng Phong, Q.Ngô Quyền, TP. Hải Phòng;0;78;18;2;2;2019;Đang thế chấp ngân hàng;Ngõ rộng;1.57;75
Apartment;Lê Hồng Phong, Q.Ngô Quyền, TP. Hải Phòng;0;78;18;2;2;2018;Nằm trong diện quy hoạch;Ngõ nhỏ;0.99;75
Apartment;Lê Hồng Phong, Q.Ngô Quyền, TP. Hải Phòng;0;78;18;2;2;2017;Sở hữu theo hợp đồng mua bán/giấy tờ viết tay;Đường cao tốc;0.83;75
Apartment;Đại lộ Bình Dương, TP. Thủ Dầu Một, Bình Dương;0;80;19;2;2;2021;Đã có Sổ Hồng/Sổ Đỏ;Đường chính;2.16;100
Apartment;Đại lộ Bình Dương, TP. Thủ Dầu Một, Bình Dương;0;80;19;2;2;2020;Đang chờ Sổ / Đang làm thủ tục cấp sổ;Đường nhánh;1.8;100
Apartment;Đại lộ Bình Dương, TP. Thủ Dầu Một, Bình Dương;0;80;19;2;2;2019;Đang thế chấp ngân hàng;Ngõ rộng;1.71;100
Apartment;Đại lộ Bình Dương, TP. Thủ Dầu Một, Bình Dương;0;80;19;2;2;2018;Nằm trong diện quy hoạch;Ngõ nhỏ;1.08;100
Apartment;Đại lộ Bình Dương, TP. Thủ Dầu Một, Bình Dương;0;80;19;2;2;2017;Sở hữu theo hợp đồng mua bán/giấy tờ viết tay;Đường cao tốc;0.9;100
