Huyện,Tỉnh,Giá trung bình (triệu đồng/m2)
Ba Đình,Hà Nội,320
Hoàn Kiếm,Hà Nội,350
Tây Hồ,Hà Nội,280
Long Biên,Hà Nội,150
Cầu Giấy,Hà Nội,250
Đống Đa,Hà Nội,300
Hai Bà Trưng,Hà Nội,280
Hoàng Mai,Hà Nội,120
Thanh Xuân,Hà Nội,230
Hà Đông,Hà Nội,100
Bắc Từ Liêm,Hà Nội,110
Nam Từ Liêm,Hà Nội,120
Sơn Tây,Hà Nội,45
Ba Vì,Hà Nội,25
Chương Mỹ,Hà Nội,28
Đan Phượng,Hà Nội,35
Đông Anh,Hà Nội,55
Gia Lâm,Hà Nội,70
Hoài Đức,Hà Nội,45
Mê Linh,Hà Nội,30
Mỹ Đức,Hà Nội,25
Phú Xuyên,Hà Nội,28
Phúc Thọ,Hà Nội,30
Quốc Oai,Hà Nội,32
Sóc Sơn,Hà Nội,35
Thạch Thất,Hà Nội,38
Thanh Oai,Hà Nội,30
Thanh Trì,Hà Nội,65
Thường Tín,Hà Nội,35
Ứng Hòa,Hà Nội,28
Quận 1,TP.HCM,350
Quận 3,TP.HCM,320
Quận 4,TP.HCM,250
Quận 5,TP.HCM,280
Quận 6,TP.HCM,200
Quận 7,TP.HCM,230
Quận 8,TP.HCM,180
Quận 10,TP.HCM,300
Quận 11,TP.HCM,250
Quận 12,TP.HCM,120
Bình Tân,TP.HCM,150
Bình Thạnh,TP.HCM,280
Gò Vấp,TP.HCM,180
Phú Nhuận,TP.HCM,300
Tân Bình,TP.HCM,250
Tân Phú,TP.HCM,200
Thủ Đức,TP.HCM,180
Bình Chánh,TP.HCM,90
Cần Giờ,TP.HCM,45
Củ Chi,TP.HCM,50
Hóc Môn,TP.HCM,80
Nhà Bè,TP.HCM,85
Hồng Bàng,Hải Phòng,120
Ngô Quyền,Hải Phòng,110
Lê Chân,Hải Phòng,95
Hải An,Hải Phòng,85
Kiến An,Hải Phòng,75
Đồ Sơn,Hải Phòng,90
Dương Kinh,Hải Phòng,70
An Lão,Hải Phòng,45
An Dương,Hải Phòng,50
Kiến Thụy,Hải Phòng,40
Tiên Lãng,Hải Phòng,35
Vĩnh Bảo,Hải Phòng,30
Cát Hải,Hải Phòng,45
Bắc Ninh,Bắc Ninh,75
Từ Sơn,Bắc Ninh,65
Yên Phong,Bắc Ninh,60
Quế Võ,Bắc Ninh,50
Tiên Du,Bắc Ninh,45
Thuận Thành,Bắc Ninh,40
Gia Bình,Bắc Ninh,35
Lương Tài,Bắc Ninh,30
Việt Yên,Bắc Giang,45
Yên Dũng,Bắc Giang,35
Lục Nam,Bắc Giang,30
Lục Ngạn,Bắc Giang,28
Sơn Động,Bắc Giang,25
Yên Thế,Bắc Giang,25
Tân Yên,Bắc Giang,30
Hiệp Hòa,Bắc Giang,32
Lạng Giang,Bắc Giang,35
TP Bắc Giang,Bắc Giang,50
Hải Châu,Đà Nẵng,150
Thanh Khê,Đà Nẵng,130
Sơn Trà,Đà Nẵng,120
Ngũ Hành Sơn,Đà Nẵng,110
Liên Chiểu,Đà Nẵng,90
Cẩm Lệ,Đà Nẵng,95
Hòa Vang,Đà Nẵng,60
Hoàng Sa,Đà Nẵng,45
TP Huế,Thừa Thiên Huế,80
Phong Điền,Thừa Thiên Huế,35
Quảng Điền,Thừa Thiên Huế,30
Phú Vang,Thừa Thiên Huế,40
Hương Thủy,Thừa Thiên Huế,45
Hương Trà,Thừa Thiên Huế,42
A Lưới,Thừa Thiên Huế,25
Nam Đông,Thừa Thiên Huế,28
Phú Lộc,Thừa Thiên Huế,35
TP Nha Trang,Khánh Hòa,120
Cam Ranh,Khánh Hòa,70
Ninh Hòa,Khánh Hòa,55
Vạn Ninh,Khánh Hòa,45
Diên Khánh,Khánh Hòa,50
Khánh Vĩnh,Khánh Hòa,35
Khánh Sơn,Khánh Hòa,30
Trường Sa,Khánh Hòa,40
TP Quy Nhơn,Bình Định,85
An Nhơn,Bình Định,50
Hoài Nhơn,Bình Định,45
Hoài Ân,Bình Định,35
Phù Mỹ,Bình Định,30
Phù Cát,Bình Định,32
Tây Sơn,Bình Định,28
Vân Canh,Bình Định,25
Tuy Phước,Bình Định,40
Vĩnh Thạnh,Bình Định,30
An Lão,Bình Định,28
Biên Hòa,Đồng Nai,85
Long Khánh,Đồng Nai,60
Tân Phú,Đồng Nai,35
Vĩnh Cửu,Đồng Nai,40
Định Quán,Đồng Nai,32
Trảng Bom,Đồng Nai,45
Thống Nhất,Đồng Nai,38
Cẩm Mỹ,Đồng Nai,30
Long Thành,Đồng Nai,65
Xuân Lộc,Đồng Nai,35
Nhơn Trạch,Đồng Nai,55
Thủ Dầu Một,Bình Dương,90
Dĩ An,Bình Dương,75
Thuận An,Bình Dương,80
Bến Cát,Bình Dương,60
Tân Uyên,Bình Dương,65
Bàu Bàng,Bình Dương,45
Dầu Tiếng,Bình Dương,35
Phú Giáo,Bình Dương,40
Bắc Tân Uyên,Bình Dương,50
Vũng Tàu,Bà Rịa-Vũng Tàu,95
Bà Rịa,Bà Rịa-Vũng Tàu,75
Châu Đức,Bà Rịa-Vũng Tàu,45
Long Điền,Bà Rịa-Vũng Tàu,55
Đất Đỏ,Bà Rịa-Vũng Tàu,40
Xuyên Mộc,Bà Rịa-Vũng Tàu,35
Côn Đảo,Bà Rịa-Vũng Tàu,80
Tân An,Long An,55
Kiến Tường,Long An,35
Tân Hưng,Long An,25
Vĩnh Hưng,Long An,22
Mộc Hóa,Long An,24
Tân Thạnh,Long An,25
Thạnh Hóa,Long An,26
Đức Huệ,Long An,25
Đức Hòa,Long An,45
Bến Lức,Long An,40
Thủ Thừa,Long An,30
Cần Đước,Long An,32
Cần Giuộc,Long An,35
Châu Thành,Long An,28
TP Lào Cai,Lào Cai,65
Bát Xát,Lào Cai,28
Mường Khương,Lào Cai,25
Si Ma Cai,Lào Cai,22
Bắc Hà,Lào Cai,24
Bảo Thắng,Lào Cai,35
Bảo Yên,Lào Cai,28
Sa Pa,Lào Cai,55
Văn Bàn,Lào Cai,26
TP Yên Bái,Yên Bái,55
Nghĩa Lộ,Yên Bái,35
Lục Yên,Yên Bái,28
Văn Yên,Yên Bái,25
Mù Cang Chải,Yên Bái,22
Trấn Yên,Yên Bái,30
Trạm Tấu,Yên Bái,20
Văn Chấn,Yên Bái,28
Yên Bình,Yên Bái,32
TP Điện Biên Phủ,Điện Biên,50
Mường Lay,Điện Biên,35
Mường Nhé,Điện Biên,20
Mường Chà,Điện Biên,22
Tủa Chùa,Điện Biên,25
Tuần Giáo,Điện Biên,28
Điện Biên,Điện Biên,30
Điện Biên Đông,Điện Biên,24
Mường Ảng,Điện Biên,26
Nậm Pồ,Điện Biên,20
TP Lai Châu,Lai Châu,45
Tam Đường,Lai Châu,25
Mường Tè,Lai Châu,20
Sìn Hồ,Lai Châu,22
Phong Thổ,Lai Châu,24
Than Uyên,Lai Châu,28
Tân Uyên,Lai Châu,26
Nậm Nhùn,Lai Châu,20
TP Sơn La,Sơn La,52
Quỳnh Nhai,Sơn La,25
Thuận Châu,Sơn La,28
Mường La,Sơn La,24
Bắc Yên,Sơn La,22
Phù Yên,Sơn La,26
Mộc Châu,Sơn La,35
Yên Châu,Sơn La,28
Mai Sơn,Sơn La,30
Sông Mã,Sơn La,26
Sốp Cộp,Sơn La,20
Vân Hồ,Sơn La,25
TP Hòa Bình,Hòa Bình,55
Đà Bắc,Hòa Bình,25
Mai Châu,Hòa Bình,30
Lương Sơn,Hòa Bình,35
Kim Bôi,Hòa Bình,28
Cao Phong,Hòa Bình,26
Tân Lạc,Hòa Bình,25
Lạc Sơn,Hòa Bình,24
Yên Thủy,Hòa Bình,28
Lạc Thủy,Hòa Bình,30
TP Thái Nguyên,Thái Nguyên,65
Sông Công,Thái Nguyên,45
Định Hóa,Thái Nguyên,28
Phú Lương,Thái Nguyên,32
Đồng Hỷ,Thái Nguyên,35
Võ Nhai,Thái Nguyên,26
Đại Từ,Thái Nguyên,30
Phổ Yên,Thái Nguyên,40
Phú Bình,Thái Nguyên,35
TP Lạng Sơn,Lạng Sơn,58
Tràng Định,Lạng Sơn,25
Bình Gia,Lạng Sơn,22
Văn Lãng,Lạng Sơn,24
Cao Lộc,Lạng Sơn,35
Văn Quan,Lạng Sơn,26
Bắc Sơn,Lạng Sơn,28
Hữu Lũng,Lạng Sơn,32
Chi Lăng,Lạng Sơn,30
Lộc Bình,Lạng Sơn,28
Đình Lập,Lạng Sơn,25
TP Cao Bằng,Cao Bằng,52
Bảo Lâm,Cao Bằng,25
Bảo Lạc,Cao Bằng,22
Thông Nông,Cao Bằng,20
Hà Quảng,Cao Bằng,24
Trà Lĩnh,Cao Bằng,26
Trùng Khánh,Cao Bằng,28
Hạ Lang,Cao Bằng,22
Quảng Uyên,Cao Bằng,25
Phục Hòa,Cao Bằng,28
Hòa An,Cao Bằng,30
Nguyên Bình,Cao Bằng,24
Thạch An,Cao Bằng,22
TP Hà Giang,Hà Giang,50
Đồng Văn,Hà Giang,28
Mèo Vạc,Hà Giang,25
Yên Minh,Hà Giang,24
Quản Bạ,Hà Giang,22
Vị Xuyên,Hà Giang,30
Bắc Mê,Hà Giang,26
Hoàng Su Phì,Hà Giang,24
Xín Mần,Hà Giang,22
Bắc Quang,Hà Giang,28
Quang Bình,Hà Giang,25
TP Thanh Hóa,Thanh Hóa,65
Bỉm Sơn,Thanh Hóa,45
Sầm Sơn,Thanh Hóa,50
Mường Lát,Thanh Hóa,20
Quan Hóa,Thanh Hóa,22
Bá Thước,Thanh Hóa,24
Quan Sơn,Thanh Hóa,22
Lang Chánh,Thanh Hóa,25
Ngọc Lặc,Thanh Hóa,28
Cẩm Thủy,Thanh Hóa,30
Thạch Thành,Thanh Hóa,32
Hà Trung,Thanh Hóa,35
Vĩnh Lộc,Thanh Hóa,32
Yên Định,Thanh Hóa,35
Thọ Xuân,Thanh Hóa,38
Thường Xuân,Thanh Hóa,28
Triệu Sơn,Thanh Hóa,32
Thiệu Hóa,Thanh Hóa,30
Hoằng Hóa,Thanh Hóa,35
Hậu Lộc,Thanh Hóa,32
Nga Sơn,Thanh Hóa,28
Như Xuân,Thanh Hóa,25
Như Thanh,Thanh Hóa,26
Nông Cống,Thanh Hóa,30
Đông Sơn,Thanh Hóa,35
Quảng Xương,Thanh Hóa,38
Tĩnh Gia,Thanh Hóa,40
TP Vinh,Nghệ An,70
Cửa Lò,Nghệ An,55
Thái Hòa,Nghệ An,45
Quế Phong,Nghệ An,25
Quỳ Châu,Nghệ An,22
Kỳ Sơn,Nghệ An,20
Tương Dương,Nghệ An,22
Nghĩa Đàn,Nghệ An,28
Quỳ Hợp,Nghệ An,26
Quỳnh Lưu,Nghệ An,32
Con Cuông,Nghệ An,24
Tân Kỳ,Nghệ An,28
Anh Sơn,Nghệ An,30
Diễn Châu,Nghệ An,35
Yên Thành,Nghệ An,32
Đô Lương,Nghệ An,30
Thanh Chương,Nghệ An,28
Nghi Lộc,Nghệ An,35
Nam Đàn,Nghệ An,32
Hưng Nguyên,Nghệ An,34
Hoàng Mai,Nghệ An,40
TP Hà Tĩnh,Hà Tĩnh,60
Hồng Lĩnh,Hà Tĩnh,45
Hương Sơn,Hà Tĩnh,32
Đức Thọ,Hà Tĩnh,30
Vũ Quang,Hà Tĩnh,25
Nghi Xuân,Hà Tĩnh,35
Can Lộc,Hà Tĩnh,28
Hương Khê,Hà Tĩnh,26
Thạch Hà,Hà Tĩnh,32
Cẩm Xuyên,Hà Tĩnh,30
Kỳ Anh,Hà Tĩnh,35
Lộc Hà,Hà Tĩnh,28
TP Đồng Hới,Quảng Bình,58
Minh Hóa,Quảng Bình,25
Tuyên Hóa,Quảng Bình,28
Quảng Trạch,Quảng Bình,32
Bố Trạch,Quảng Bình,35
Quảng Ninh,Quảng Bình,30
Lệ Thủy,Quảng Bình,32
Ba Đồn,Quảng Bình,40
